Communes,Site,Adresse,Localisation box,Techno,Opérateur,N° Marché,N° Contrat,N° Mandat,Hotline,Ligne support,Référence opérateur,IP Fixe,vlan,Débit,GTR Hebdo,GTR (h),Dégroupage (Partiel/Total),Coût (TTC/mois)
Pessac,Maison Municipale,13 avenue Henri Frugès ,,,Orange Pro,,,,3901,,,,,,,,,
Bouscat,Maternelle lafon féline ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Maternelle chenille verte,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Maternelle Ermitage ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Maternelle centre ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Primaire centre2 ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Primaire centre1 ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Primaire lafon feline,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Groupe jean jaures ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Crèche providence,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Hôtel de ville ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,RPA Mieux vivres ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Résidence heyres ,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bouscat,Garderie maternelle lafon feline,,,,Numéricâble,,,,08 25 33 08 25,,,,,,,,,
Bruges,NRA BRUGES,,,,Orange Intracité,,,,08 00 25 20 00,,VV412144,,,100Mb,,,,
Bruges,HOTEL DE VILLE,"87 Avenue Charles de Gaule  33520 BRUGES",,,Orange Intracité,,,,08 00 25 20 00,05 56 16 80 80,VV608832,,,100Mb,,,,
Bruges,POLE PUBLIC DU TASTA,65 Rue André Messager,,,Orange Intracité,,,,08 00 25 20 00,05 56 50 19 47,VV840698,,,100Mb,,,,
Bruges,SERVICES DE SOINS A DOMICILE DARNAL,"44 Rue Louis Fleuranceau  33520 BRUGES",,,Orange Intracité,,,,08 00 25 20 00,,VV608839,,,10 Mb/s,,,,
Bruges,POLE TECHNIQUE,"6, rue Christian Franceries Parc de Chavaille",,,Orange Intracité,,,,08 00 25 20 00,,VV761661,,,100 Mb/s,,,,
Bruges,MAIRIE ANNEXE,,,,Orange Intracité,,,,08 00 25 20 00,,VV608841,,,10 Mb/s,,,,
Bruges,DOMAINE DE BISTON,Résilié depuis le 25/02/2014,,,Orange Intracité,,,,08 00 25 20 00,,VV488960,,,1GS,,,,
Bruges,ESPACE ARC EN CIEL RESTAURANT,Rue Jean Claudeville,,,Orange Intracité,,,,08 00 25 20 00,05 56 80 83 35,VV831303,,,4GS,,,,
Bruges,ESPACE ARC EN CIEL CRECHE,55 Rue Jean Claudeville,,,Orange Intracité,,,,08 00 25 20 00,05 56 16 48 65,VV488956,,,1GS,,,,
Bruges,ALSH LA MARIANNE,Allée du Brion,,,Orange Intracité,,,,08 00 25 20 00,05 56 16 03 21,VV488954,,,1GS,,,,
Bruges,RESIDENCE PERSONNES AGEES (Le Sourire),41 Avenue Charles de Gaulle,,,Orange Intracité,,,,08 00 25 20 00,,VV608848,,,1GS,,,,
Bruges,CLSH DU TASTA JACQUES PREVERT,42 Avenue Jean Jaurès,,,Orange Intracité,,,,08 00 25 20 00,05 56 50 33 02,VV828256,,,2GS,,,,
Bruges,CRECHE DES LUTINS,3 Rue Aristide de Sausa Mendès,,,Orange Intracité,,,,08 00 25 20 00,,VV608879,,,1GS,,,,
Bruges,CRECHE PETIT PRINCE,Rue Camille Saint Saens,,,Orange Intracité,,,,08 00 25 20 00,,VV608871,,,1GS,,,,
Bruges,POLE PUBLIC DU TASTA,65 Rue André Messager,,,Orange Intracité,,,,08 00 25 20 00,05 56 50 19 47,VV840697,,,4GS,,,,
Bruges,ECOLE CAMILLE CLAUDEL,"12 rue Theodore Bellemer 33520 Bruges",,,Orange Pro,,,,,05 56 16 03 92,121896206,193.248.245.7,,,,,,
Bruges,ALSH JACQUES PREVERT,"42 Avenue Jena Jaures 33520 Bruges",,,Orange Pro,,,,,05 56 50 33 02,121896207,193.248.228.6,,,,,,
Bruges,ALSH LA MARIANNE,"3 Allée Biron 33520 Bruges",,,Orange Pro,,,,,05 56 28 63 68,121896208,80.14.77.246,,,,,,
Bruges,BUREAU DE L'OPPOSITION,"15 Rue Maurice Ravel 33520 Bruges",,,Orange Pro,,,,,05 56 99 42 80,121896209,80.14.198.192,,,,,,
Bruges,ECOLE ELEMENTAIRE JACQUES PREVERT,"46 Avenue Jean Jaures 33520 Bruges",,,Orange Pro,,,,,05 56 39 48 21,121896211,82.127.147.248,,,,,,
Bruges,ECOLE CAMILLE CLAUDEL,"12 Rue Theodore Bellemer 33520 Bruges",,,Orange Pro,,,,,05 56 16 03 92,121896212,193.252.2.69,,,,,,
Bruges,MAIRIE ANNEXE,"21 Avenue Jean Jaures 33520 Bruges",,,Orange Pro,,,,,05 56 39 67 48,121896213,80.14.185.205,,,,,,
Bruges,ALSH ILE AUX ENFANTS,"12 rue Theodore Bellemer 33520 Bruges",,,Orange Pro,,,,,05 56 16 71 96,121896214,82.127.104.24,,,,,,
Bruges,FORUM DES ASSOCIATIONS,"Avenue Verdun 33520 Bruges",,,Orange Pro,,,,,05 56 16 17 99,121896230,82.127.92.173,,,,,,
Bruges,ECOLE MATERNELLE JACQUES JAURES,"48 Avenue Jean Jaures 33520 Bruges",,,Orange Pro,,,,,05 56 50 83 36,121896232,193.252.29.127,,,,,,
Bruges,ESPACE CULTUREL TREULON,"Avenue Verdun 33520 Bruges",,,Orange Pro,,,,,05 56 95 25 61,121896237,193.251.43.84,,,,,,
Bruges,LOCAL DES SYNDICATS,"82 Avenue Verdun 33520 Bruges",,,Orange Pro,,,,,05 56 57 56 09,121896238,82.127.112.28,,,,,,
Pessac,Crèche Cazalouette,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Crèche Petits poucets,,,FO,Inolia,,,,,,,,,,,,,
Pessac,CTM,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Médiathèque J.Ellul,,,FO,Inolia,,,,,,,,,,,,,
Pessac,RPA,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Immeuble Dulout,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Bibliothèque P.Neruda,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Crèche Serpentine,,,FO,Inolia,,,,,,,,,,,,,
Pessac,CCAS,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Forum,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Pessac en scène,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Police,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Hôtel de ville,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Ecole A.B.,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Salle Bellegrave,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Château Bellegrave,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Crèche Calune,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Maison Marcade,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Château Cazalet,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Service des espaces verts,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Centre de loisirs,,,FO,Inolia,,,,,,,,,,,,,
Pessac,Service des sports,,,FO,Inolia,,,,,,,,,,,,,
