nom,snmpcontact,dns,iosv,ip,modele,marque
Salle du Point du Jour,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.132.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AH-MAQ-Acceuil,admin@aerohive.com,,,192.168.24.63,HiveAP 20,Aerohive,
AH-CAPC-AUDITORIUM,admin@aerohive.com,,,192.168.24.73,HiveAP 20,Aerohive,
AH-OFFICE-TOURISME-QUINCONCES,admin@aerohive.com,,,192.168.24.196,HiveAP 20,Aerohive,
AH-OFFICE-TOURISME-COMEDIE,admin@aerohive.com,,,192.168.24.197,HiveAP 20,Aerohive,
AH-CAPC-mystere,admin@aerohive.com,,,192.168.24.28,HiveAP 20,Aerohive,
AH-CNR,admin@aerohive.com,,,192.168.24.56,HiveAP 20,Aerohive,
AH-MAQ-BIB,admin@aerohive.com,,,192.168.24.62,HiveAP 20,Aerohive,
AH-H14-RDC-1,admin@aerohive.com,,,192.168.24.68,HiveAP 20,Aerohive,
AH-H14-RDC-2,admin@aerohive.com,,,192.168.24.69,HiveAP 20,Aerohive,
AH-H14-1er-2,admin@aerohive.com,,,192.168.24.70,HiveAP 20,Aerohive,
AH-H14-1er-1,admin@aerohive.com,,,192.168.24.71,HiveAP 20,Aerohive,
AH-CAPC-ATRIUM,admin@aerohive.com,,,192.168.24.72,HiveAP 20,Aerohive,
AH-ANN-ST_AUGUSTIN-1er,admin@aerohive.com,,,192.168.24.94,HiveAP 20,Aerohive,
AH-G2,admin@aerohive.com,,,192.168.24.98,HiveAP 20,Aerohive,
AH-MBA-BIBLIO,admin@aerohive.com,,,192.168.24.99,HiveAP 20,Aerohive,
AH-ARMAGNAC2,admin@aerohive.com,,,192.168.24.105,HiveAP 20,Aerohive,
AH-ARMAGNAC3,admin@aerohive.com,,,192.168.24.106,HiveAP 20,Aerohive,
AH-BIB-ST-AUG-RDC,admin@aerohive.com,,,192.168.24.107,HiveAP 20,Aerohive,
AH-BIB-ST-AUG-2eme,admin@aerohive.com,,,192.168.24.108,HiveAP 20,Aerohive,
AH-OFFICE-TOURISME,admin@aerohive.com,,,192.168.24.109,HiveAP 20,Aerohive,
AH-BibMdk-RDD,admin@aerohive.com,,,192.168.24.111,HiveAP 20,Aerohive,
AH-BibMdk-2S-2,admin@aerohive.com,,,192.168.24.112,HiveAP 20,Aerohive,
AH-BibMdk-1N,admin@aerohive.com,,,192.168.24.113,HiveAP 20,Aerohive,
AH-BibMdk-3,admin@aerohive.com,,,192.168.24.114,HiveAP 20,Aerohive,
AH-BibMdk-2,admin@aerohive.com,,,192.168.24.116,HiveAP 20,Aerohive,
AH-BibMdk-1-3,admin@aerohive.com,,,192.168.24.117,HiveAP 20,Aerohive,
AH-BibMdk-4,admin@aerohive.com,,,192.168.24.118,HiveAP 20,Aerohive,
AH-MBXARTS-AILE-NORD-1,admin@aerohive.com,,,192.168.24.119,HiveAP 20,Aerohive,
AH-BibMdk-Amphi,admin@aerohive.com,,,192.168.24.121,HiveAP 20,Aerohive,
AH-Matteoti,admin@aerohive.com,,,192.168.24.122,HiveAP 20,Aerohive,
AH-OFFICE-TOURISME-2EME,admin@aerohive.com,,,192.168.24.123,HiveAP 20,Aerohive,
AH-MUSEE-ARTS-DECO,admin@aerohive.com,,,192.168.24.124,HiveAP 20,Aerohive,
AH-MBA-NORD2,admin@aerohive.com,,,192.168.24.125,HiveAP 20,Aerohive,
AH-MBA-NORD3,admin@aerohive.com,,,192.168.24.126,HiveAP 20,Aerohive,
AH-MAQ-J4-2,admin@aerohive.com,,,192.168.24.127,HiveAP 20,Aerohive,
AH-CIAP,admin@aerohive.com,,,192.168.24.130,HiveAP 20,Aerohive,
AH-CAPC-COMM,admin@aerohive.com,,,192.168.24.131,HiveAP 20,Aerohive,
AH-PlChartronSicard,admin@aerohive.com,,,192.168.24.223,HiveAP 20,Aerohive,
AH-G2-Outdoor,admin@aerohive.com,,,192.168.24.228,HiveAP 20,Aerohive,
AH-ANN-CAUDERAN-OUTDOOR,admin@aerohive.com,,,192.168.24.234,HiveAP 20,Aerohive,
SW-ELE-Nuyens-1,,,07.4.00bT311 Compiled on Oct  3 2012 at 08:42:29 labeled as ICX64S07400b,172.20.251.170,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-ELE-Nuyens-68,,ptb-00955.mbx.fr,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.251.171,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MAT-NUYENS,,,08.0.10aT311 Compiled on Feb 14 2014 at 15:28:44 labeled as ICX64S08010a,172.20.251.172,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Athénée Municipal,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.19,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Josephine-15,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.15.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-SEMPE-18,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.18.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Lagrange-20,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.20.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Paix-22,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.22.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Menuts-27,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.27.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Nuits-29,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.29.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-TREBOD-89,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.89.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Bernard-Adour-73,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.73.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Rohan-Annexe,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.251.21,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Point-du-Jour-19,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.19.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Pas-St-Georges,,,08.0.10aT311 Compiled on Feb 14 2014 at 15:28:44 labeled as ICX64S08010a,172.25.25.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AH-GALERIE-DES-BEAUX-ARTS,admin@aerohive.com,,,192.168.24.152,HiveAP 20,Aerohive,
Espaces Verts Bx Sud,,,08.0.00T311 Compiled on Apr 26 2013 at 20:18:53 labeled as ICX64S08000,172.20.167.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Rohan-Central-POE,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.251.30,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Maison du projet-G2,,,,172.20.251.47,Synoptics,Synoptics,
Jean-Moulin-Sous-Sol,,,08.0.00T311 Compiled on Apr 26 2013 at 20:18:53 labeled as ICX64S08000,172.20.251.50,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Berthelot,,,08.0.10aT311 Compiled on Feb 14 2014 at 15:28:44 labeled as ICX64S08010a,172.25.17.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
ACHARD Ele borne rés. 1,,B_ACHARDELE-63,,172.25.36.101,Unknown,Unknown,
ACHARD Mat borne aut.,,B_ACHARDMAT-61,,172.25.36.103,Unknown,Unknown,
A BARRAUD Ele borne rés. 1,,,,172.25.21.101,Unknown,Unknown,
A BARRAUD Ele borne rés. 2,,,,172.25.21.102,Unknown,Unknown,
A BARRAUD Ele borne rés. 3,,B_ABARRAUDELE-0,,172.25.21.103,Unknown,Unknown,
A BARRAUD Ele borne rés. 4,,,,172.25.21.104,Unknown,Unknown,
SCHWEITZER Ele borne rés. 1,,B_ASCHWEIELE-77,,172.25.39.102,Unknown,Unknown,
SCHWEITZER Ele borne rés. 2,,B_ASCHWEIELE-78,,172.25.39.103,Unknown,Unknown,
SCHWEITZER Mat borne aut.,,B_ASCHWEIMAT-75,,172.25.39.101,Unknown,Unknown,
SCHWEITZER Mat borne res. 2,,,,172.25.39.104,Unknown,Unknown,
A. THOMAS Elé borne rés. 1,,B_ATHOMASELE-15,,172.25.50.101,Unknown,Unknown,
A. THOMAS Elé borne rés. 2,,,,172.25.50.102,Unknown,Unknown,
A. THOMAS Mat borne aut.,,B_ATHOMASMAT-14,,172.25.50.103,Unknown,Unknown,
A. DUPEUX Elé borne rés. 1,,B_ADUPEUXELE-14,,172.25.51.101,Unknown,Unknown,
A. DUPEUX Elé borne rés. 2,,,,172.25.51.103,Unknown,Unknown,
A. DUPEUX Mat borne aut.,,B_ADUPEUXMAT-14,,172.25.51.102,Unknown,Unknown,
A. FRANCE Elé borne rés. 1,,,,172.25.47.101,Unknown,Unknown,
A. FRANCE Elé borne rés. 2,,,,172.25.47.102,Unknown,Unknown,
A. FRANCE Mat borne aut.,,,,172.25.47.103,Unknown,Unknown,
A. MEUNIER Elé borne rés. 1,,B_AMEUNIERELE-1,,172.25.59.101,Unknown,Unknown,
A. MEUNIER Elé borne rés. 2,,,,172.25.59.102,Unknown,Unknown,
A. MEUNIER Elé borne rés. 3,,,,172.25.59.103,Unknown,Unknown,
ARGONNE Mat borne aut.,,B_ARGONNEMAT-27,,172.25.32.101,Unknown,Unknown,
BALGUERIE Elé borne rés. 1,,,,172.25.16.101,Unknown,Unknown,
BALGUERIE Elé borne rés. 2,,,,172.25.16.102,Unknown,Unknown,
BARBEY Mat borne aut.,,,,172.25.35.101,Unknown,Unknown,
BECHADE Mat borne aut.,,,,172.25.72.101,Unknown,Unknown,
BECHADE Mat borne res. 2,,,,172.25.72.102,Unknown,Unknown,
BECK Mat borne aut.,,B_BECKMAT-122,,172.25.30.102,Unknown,Unknown,
BEL AIR Ele borne aut.,,,,172.25.53.101,Unknown,Unknown,
BENAUGE Ele borne rés. 1,,B_BENAUELE-31,,172.25.54.101,Unknown,Unknown,
BENAUGE Ele borne rés. 2,,,,172.25.54.102,Unknown,Unknown,
BENAUGE Mat borne aut.,,,,172.25.54.103,Unknown,Unknown,
BERNARD ADOUR Mat born. aut.,,B_BADOURMAT-44,,172.25.73.101,Unknown,Unknown,
C. VERNET Ele borne rés. 1,,B_CVERNETELE-47,,172.25.60.101,Unknown,Unknown,
C. VERNET Ele borne rés. 2,,B_CVERNETELE-48,,172.25.60.102,Unknown,Unknown,
C. VERNET Mat borne aut.,,B_CVERNETMAT-45,,172.25.60.103,Unknown,Unknown,
CAZEMAJOR Elé borne rés. 1,,B_CAZEMAJORELE-,,172.25.80.101,Unknown,Unknown,
CAZEMAJOR Elé borne rés. 2,,B_CAZEMAJORELE-,,172.25.80.102,Unknown,Unknown,
C. MARTIN Elé borne rés. 1,,B_CHMARTINELE-1,,172.25.37.101,Unknown,Unknown,
C. MARTIN Elé borne rés. 2,,B_CHMARTINELE-1,,172.25.37.102,Unknown,Unknown,
C. MARTIN Mat borne rés. 1,,,,172.25.37.103,Unknown,Unknown,
C. MARTIN Mat borne rés. 2,,,,172.25.37.104,Unknown,Unknown,
CLOS MONTESQUIEU Mat borne aut,,,,172.25.79.101,Unknown,Unknown,
CONDORCET Ele borne rés. 1,,,,172.25.40.101,Unknown,Unknown,
CONDORCET Ele borne rés. 2,,,,172.25.40.102,Unknown,Unknown,
CONDORCET Ele borne rés. 3,,,,172.25.40.105,Unknown,Unknown,
CONDORCET Mat borne res1.,,,,172.25.40.103,Unknown,Unknown,
CONDORCET Mat borne res2.,,,,172.25.40.104,Unknown,Unknown,
D. JOHNSTON Elé borne rés. 1,,,,172.25.12.101,Unknown,Unknown,
D. JOHNSTON Elé borne rés. 2,,,,172.25.12.102,Unknown,Unknown,
D. JOHNSTON Elé borne rés. 3,,,,172.25.12.103,Unknown,Unknown,
DEYRIES Ele borne rés. 2,,B_DEYRIESELE-25,,172.25.11.102,Unknown,Unknown,
DEYRIES Ele borne rés. 1,,B_DEYRIESELE-24,,172.25.11.101,Unknown,Unknown,
DUPATY Elé borne rés. 1,,B_DUPATYELE-93,,172.25.14.101,Unknown,Unknown,
DUPATY Elé borne rés. 2,,,,172.25.14.102,Unknown,Unknown,
F. DE PRESSENSE Mat borne aut.,,,,172.25.49.102,Unknown,Unknown,
F. DE PRESSENSE Mat borneres.2,,,,172.25.49.104,Unknown,Unknown,
F. BUISSON Elé borne aut.,,,,172.25.30.101,Unknown,Unknown,
FIEFFE Mat borne rés. 1,,B_FIEFFEMAT-26,,172.25.62.101,Unknown,Unknown,
FIEFFE Mat borne rés. 2,,,,172.25.62.102,Unknown,Unknown,
FLORNOY Ele borne rés. 1,,B_FLORNOYELE-40,,172.25.71.101,Unknown,Unknown,
FLORNOY Ele borne rés. 2,,B_FLORNOYELE-41,,172.25.71.102,Unknown,Unknown,
FLORNOY Ele borne rés. 3,,,,172.25.71.103,Unknown,Unknown,
FLORNOY Mat borne rés. 1,,B_FLORNOYMAT-37,,172.25.71.104,Unknown,Unknown,
FLORNOY Mat borne rés. 2,,B_FLORNOYMAT-38,,172.25.71.105,Unknown,Unknown,
FRANC SANSON borne aut.,,B_FSANSON-136,,172.25.58.101,Unknown,Unknown,
FRANCIN Ele borne rés. 1,,,,172.25.81.101,Unknown,Unknown,
FRANCIN Ele borne rés. 2,,B_FRANCINELE-21,,172.25.81.102,Unknown,Unknown,
FRANCIN Ele borne rés. 3,,,,172.25.81.103,Unknown,Unknown,
HENRI IV Elé borne rés. 1,,B_HENRIIV_134,,172.25.49.101,Unknown,Unknown,
HENRI IV Elé borne rés. 2,,,,172.25.49.103,Unknown,Unknown,
J. PREVERT borne rés. 1,,,,172.25.33.101,Unknown,Unknown,
J. PREVERT borne rés. 2,,B_JPERVERTELE-1,,172.25.33.102,Unknown,Unknown,
J. COCTEAU Elé borne rés. 1,,,,172.25.74.101,Unknown,Unknown,
J. COCTEAU Elé borne rés. 2,,,,172.25.74.102,Unknown,Unknown,
J. COCTEAU Mat borne aut.,,,,172.25.83.101,Unknown,Unknown,
J. MONNET Elé borne rés. 1,,,,172.25.82.101,Unknown,Unknown,
J. MONNET Elé borne rés. 2,,B_JMONNETELE-11,,172.25.82.102,Unknown,Unknown,
J. MONNET Mat borne aut.,,B_JMONNETMAT-11,,172.25.82.103,Unknown,Unknown,
JOSEPHINE Mat borne aut.,,B_JOSEPHMAT-99,,172.25.15.101,Unknown,Unknown,
J.FERRY Ele borne rés. 1,,B_JFERRYELE-51,,172.25.75.101,Unknown,Unknown,
J.FERRY Ele borne rés. 2,,,,172.25.75.102,Unknown,Unknown,
J.FERRY Mat borne res 1.,,B_JFERRYMAT-49,,172.25.86.101,Unknown,Unknown,
J.FERRY Mat borne res 2.,,,,172.25.86.102,Unknown,Unknown,
LABARDE Ele borne rés. 2,,B_LABARDE-72,,172.25.66.102,Unknown,Unknown,
LABARDE Ele borne rés.1,,B_LABARDE-71,,172.25.66.101,Unknown,Unknown,
LAC 2 Mat borne aut.,,,,172.25.87.101,Unknown,Unknown,
LAC 3 Mat borne aut.,,,,172.25.88.101,Unknown,Unknown,
LAGRANGE Mat borne rés. 1,,B_LAGRANGEMAT-1,,172.25.20.101,Unknown,Unknown,
LAGRANGE Mat borne rés. 2,,B_LAGRANGEMAT-1,,172.25.20.102,Unknown,Unknown,
POINT DU JOUR Mat borne aut.,,,,172.25.19.101,Unknown,Unknown,
LOUCHEUR Ele borne rés.1,,B_LOUCHEURELE-1,,172.25.52.101,Unknown,Unknown,
LOUCHEUR Ele borne rés.2,,,,172.25.52.102,Unknown,Unknown,
LUCIEN FAURE Mat borne aut.,,,,172.25.18.101,Unknown,Unknown,
MENUTS Elé borne rés. 1,,B_MENUTSELE-96,,172.25.26.101,Unknown,Unknown,
MENUTS Elé borne rés. 2,,B_MENUTSELE-97,,172.25.26.102,Unknown,Unknown,
MENUTS Mat borne aut.,,B_MENUTSMAT-98,,172.25.27.101,Unknown,Unknown,
MONTAUD Elé borne aut.,,B_MONTAUDELE-11,,172.25.28.101,Unknown,Unknown,
MONTAUD Elé borne rés. 2,,,,172.25.28.102,Unknown,Unknown,
MONTGOLFIER Ele borne rés. 1,,,,172.25.41.103,Unknown,Unknown,
MONTGOLFIER Ele borne rés. 2,,,,172.25.41.104,Unknown,Unknown,
MONTGOLFIER Ele borne rés. 3,,B_MONTGOLFELE-6,,172.25.41.105,Unknown,Unknown,
MONTGOLFIER Ele borne rés. 4,,,,172.25.41.106,Unknown,Unknown,
MONTGOLFIER Mat borne rés. 1,,,,172.25.41.101,Unknown,Unknown,
MONTGOLFIER Mat borne rés. 2,,,,172.25.41.102,Unknown,Unknown,
NAUJAC Mat borne aut.,,B_NAUJACMAT-35,,172.25.24.101,Unknown,Unknown,
NOVICIAT Mat borne aut.,,,,172.25.59.104,Unknown,Unknown,
NOVICIAT Mat borne rés. 2,,,,172.25.59.105,Unknown,Unknown,
NUITS Mat borne aut.,,,,172.25.29.101,Unknown,Unknown,
NUYENS Elé borne rés. 1,,B_NUYENSELE-157,,172.25.68.101,Unknown,Unknown,
NUYENS Elé borne rés. 2,,,,172.25.68.103,Unknown,Unknown,
NUYENS Mat borne aut.,,,,172.25.68.102,Unknown,Unknown,
PAIX Mat borne aut.,,B_PAIXMAT-28,,172.25.22.101,Unknown,Unknown,
P. S. GEORGES Mat borne aut.,,B_PSTGEORGES-91,,172.25.25.101,Unknown,Unknown,
P. ANTIN Mat borne rés. 1,,B_PANTIN-132,,172.25.61.104,Unknown,Unknown,
P. ANTIN Mat borne rés. 2,,B_PANTIN-133,,172.25.61.105,Unknown,Unknown,
P BERT Ele borne rés. 1,,,,172.25.70.101,Unknown,Unknown,
P BERT Ele borne rés. 2,,B_PBERTELE-009,,172.25.70.102,Unknown,Unknown,
P BERT Ele borne rés. 3,,,,172.25.70.104,Unknown,Unknown,
P BERT Mat borne rés. 1,,,,172.25.70.103,Unknown,Unknown,
P. BERTHELOT Mat borne rés. 2,,,,172.25.17.102,Unknown,Unknown,
P. BERTHELOT Mat borne rés.1,,,,172.25.17.101,Unknown,Unknown,
P. DOUMER Elé borne aut.,,,,172.25.67.102,Unknown,Unknown,
P. DOUMER Mat borne aut.,,B_PDOUMERMAT-16,,172.25.67.101,Unknown,Unknown,
PAUL LAPIE Elé borne rés.1,,B_PLAPIEELE-140,,172.25.76.101,Unknown,Unknown,
PAUL LAPIE Elé borne rés.2,,B_PLAPIEELE-139,,172.25.76.102,Unknown,Unknown,
PAUL LAPIE Elé borne rés.3,,,,172.25.76.103,Unknown,Unknown,
PAUL LAPIE Mat borne aut.,,B_PLAPIEMAT-137,,172.25.77.101,Unknown,Unknown,
P. TREBOD Mat borne aut.,,B_P_TREBOT_79,,172.25.89.101,Unknown,Unknown,
PINS FRANCS Elé borne rés. 1,,B_PINCFRELE-116,,172.25.78.101,Unknown,Unknown,
PINS FRANCS Elé borne rés. 2,,,,172.25.78.102,Unknown,Unknown,
PINS FRANCS Mat borne aut.,,,,172.25.78.103,Unknown,Unknown,
PINS FRANCS Mat borne rés. 2,,,,172.25.78.104,Unknown,Unknown,
R. POINCARE Elé borne rés.1,,,,172.25.43.101,Unknown,Unknown,
R. POINCARE Elé borne rés.2,,,,172.25.43.102,Unknown,Unknown,
R. POINCARE Elé borne rés.3,,,,172.25.43.104,Unknown,Unknown,
R. POINCARE Mat borne rés.1,,B_RPOINCAREM-14,,172.25.43.103,Unknown,Unknown,
R. POINCARE Mat borne rés.2,,,,172.25.43.105,Unknown,Unknown,
SOLFERINO Mat borne aut.,,B_SOLFERINOMAT-,,172.25.34.101,Unknown,Unknown,
SOMME Elé borne rés. 1,,,,172.25.61.101,Unknown,Unknown,
SOMME Elé borne rés. 2,,B_SOMMEELE-129,,172.25.61.102,Unknown,Unknown,
SOMME Elé borne rés. 3,,B_SOMMEELE-130,,172.25.61.103,Unknown,Unknown,
SOUSA MENDES Elé Borne rés. 2,,B_SMENDES-64,,172.25.64.103,Unknown,Unknown,
SOUSA MENDES Elé Borne rés. 3,,,,172.25.64.104,Unknown,Unknown,
SOUSA MENDES Mat Borne rés. 1,,B_MENDES-181,,172.25.64.102,Unknown,Unknown,
SOUSA MENDES Mat Borne rés. 2,,,,172.25.64.105,Unknown,Unknown,
St ANDRE Mat borne aut.,,,,172.25.46.101,Unknown,Unknown,
St BRUNO Ele borne rés. 1,,,,172.25.48.101,Unknown,Unknown,
St BRUNO Ele borne rés. 2,,,,172.25.48.102,Unknown,Unknown,
St BRUNO Mat borne aut.,,B_STBRUNOMAT-00,,172.25.48.103,Unknown,Unknown,
STEHELIN Elé borne rés. 1,,B_STEHEELE-159,,172.25.44.101,Unknown,Unknown,
STEHELIN Elé borne rés. 2,,B_STEHEELE-160,,172.25.44.102,Unknown,Unknown,
STEHELIN Elé borne rés. 3,,B_STEHEELE-161,,172.25.44.103,Unknown,Unknown,
STEHELIN Mat borne aut.,,B_STEHEMAT-163,,172.25.44.104,Unknown,Unknown,
STEHELIN Mat borne res. 2,,,,172.25.44.105,Unknown,Unknown,
STENDHAL Elé rés. 1,,,,172.25.84.101,Unknown,Unknown,
STENDHAL Elé rés. 2,,,,172.25.84.103,Unknown,Unknown,
STENDHAL Mat Borne aut.,,B_STENDHALM-183,,172.25.84.102,Unknown,Unknown,
THIERS Ele borne rés. 1,,B_THIERSELE-34,,172.25.55.101,Unknown,Unknown,
THIERS Ele borne rés. 2,,,,172.25.55.103,Unknown,Unknown,
THIERS Mat borne aut.,,B_THIERSMAT-33,,172.25.55.102,Unknown,Unknown,
Vaclav Havel Ele. Borne aut.,,,,172.25.92.101,Unknown,Unknown,
Vaclav Havel Mat. Borne aut.,,,,172.25.92.102,Unknown,Unknown,
V. BORDEAUX Elé borne aut.,,,,172.25.23.101,Unknown,Unknown,
YSER Mat borne aut.,,B_YSERMAT-89,,172.25.63.101,Unknown,Unknown,
Annexe Grand Parc,,,07.4.00bT311 Compiled on Oct  3 2012 at 08:42:29 labeled as ICX64S07400b,172.20.251.51,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Maison de l'Europe,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.16,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RAM Bastide,,,,172.20.251.105,Synoptics,Synoptics,
NRJ-HdV1,contact,,,10.240.100.8,Tridium,Tridium,
AH-CAPC-Directeur,admin@aerohive.com,,,192.168.24.159,HiveAP 20,Aerohive,
SW-MONTGOLFIER-2,,,07.4.00bT311 Compiled on Oct  3 2012 at 08:42:29 labeled as ICX64S07400b,172.25.41.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
NRJ-MEC,contact,,,10.240.142.4,Tridium,Tridium,
Rohan-Telecom,,,07.4.00fT311 Compiled on Apr 21 2014 at 03:27:28 labeled as ICX64S07400f,172.20.251.52,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Naujac-24,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.24.220,H3C S3100-26TP-EI,H3C,
Cité-Municipale - SR07-4O,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.67,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR04-2E,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.64,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR05-2O,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.65,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR06-4E,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.66,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR10-8E,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.71,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR11-8O,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.72,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR09-6O,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.69,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - RG01-SS,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.61,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AH-Minimettes,admin@aerohive.com,,,192.168.24.153,HiveAP 20,Aerohive,
Creche Sainte Colombe,,,,172.20.251.99,Synoptics,Synoptics,
MDK-B03-6430,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.252.150,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité Municipale-RG-6740-61,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.61,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité Municipale-RG-6740-62,network@mairie-bordeaux.fr,,4.1.3c.,172.20.252.62,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SWITCH-SRT01,Didier Eymery,,,172.20.251.80,Netgear,Netgear,
Cité-Municipale - SR02-RDC-E,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.62,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR03-RDC-O,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.63,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AX Cité Municipale,Root (root@localhost) (configure /etc/snmp/snmp.local.conf),,,172.20.28.80,Aastra,Aastra,
Victoire,,,08.0.30kT211 Compiled on Oct 18 2016 at 05:40:38 labeled as SPS08030k,172.20.251.28,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité Municipale-7EME-Robot,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.54,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
FH Conservatoire-Aquitanis,DGINSI,,50650-01-11,172.20.251.200,PipingHot Networks Limited,PipingHot Networks Limited,
Toit Aquitanis,Hirschmann Automation and Control GmbH,,,172.20.251.204,Richard Hirschmann GmbH & Co.,Richard Hirschmann GmbH & Co.,
FH Aquitanis-Conservatoire,DGINSI,,50650-01-11,172.20.251.201,PipingHot Networks Limited,PipingHot Networks Limited,
